Class,DEM,NDVI,NDWI,SAVI,VALUE,blue,green,.geo
Rice,3,0.328209307,-0.246671429,0.200015752,1,0.071680343,0.099916732,"{""type"":""Point"",""coordinates"":[106.0682265210202,21.065069840743643]}"
Rice,4,0.385557347,-0.266853077,0.239464915,1,0.068725343,0.09774414,"{""type"":""Point"",""coordinates"":[106.0685119034876,21.06506538164259]}"
Rice,6,0.472241425,-0.313468806,0.28849587,1,0.053669714,0.092073858,"{""type"":""Point"",""coordinates"":[106.06880174505608,21.065065381642594]}"
Rice,6,0.53262556,-0.329627398,0.327374288,1,0.051606752,0.089167459,"{""type"":""Point"",""coordinates"":[106.06909158662455,21.065060922541534]}"
Rice,6,0.553724285,-0.35665254,0.348950359,1,0.050182363,0.086639518,"{""type"":""Point"",""coordinates"":[106.06938142819303,21.065060922541534]}"
Rice,6,0.361604471,-0.26091275,0.230129449,1,0.07994232,0.117220229,"{""type"":""Point"",""coordinates"":[105.96081123574375,21.06543994613108]}"
Rice,8,0.346755366,-0.311871873,0.217902165,1,0.079591324,0.107989381,"{""type"":""Point"",""coordinates"":[105.96110107731222,21.065435487030026]}"
Rice,11,0.341048325,-0.338184232,0.210678079,1,0.077948306,0.104010396,"{""type"":""Point"",""coordinates"":[105.96139091888068,21.065435487030026]}"
Rice,9,0.317412166,-0.297698253,0.189458835,1,0.07486183,0.111025192,"{""type"":""Point"",""coordinates"":[105.96168076044917,21.065435487030026]}"
Rice,9,0.297966589,-0.293229627,0.175438067,1,0.074126733,0.111214425,"{""type"":""Point"",""coordinates"":[105.9619661429166,21.065431027928973]}"
Rice,7,0.294147671,-0.32703118,0.172811491,1,0.074127637,0.101709631,"{""type"":""Point"",""coordinates"":[105.96225598448507,21.065431027928973]}"
Rice,6,0.293886409,-0.305873322,0.175363082,1,0.074969716,0.102863063,"{""type"":""Point"",""coordinates"":[105.96254582605353,21.06543102792897]}"
Rice,1,0.34776395,-0.24520315,0.214802799,1,0.068055023,0.098945289,"{""type"":""Point"",""coordinates"":[106.06822206191914,21.064797835579387]}"
Rice,2,0.375883965,-0.294990497,0.228664616,1,0.062053233,0.096428357,"{""type"":""Point"",""coordinates"":[106.0685119034876,21.064793376478324]}"
Rice,3,0.485189586,-0.3135034,0.298167304,1,0.055295567,0.093197385,"{""type"":""Point"",""coordinates"":[106.06880174505608,21.064793376478324]}"
Rice,5,0.525306734,-0.323098487,0.331415861,1,0.052889398,0.090657609,"{""type"":""Point"",""coordinates"":[106.06909158662455,21.064793376478324]}"
Rice,4,0.376856239,-0.260027448,0.235202159,1,0.077946641,0.123847352,"{""type"":""Point"",""coordinates"":[105.96081123574375,21.065167940966816]}"
Rice,5,0.35817142,-0.276065838,0.229102938,1,0.080048613,0.118067375,"{""type"":""Point"",""coordinates"":[105.96110107731222,21.06516794096682]}"
Rice,6,0.361319295,-0.27643895,0.233225954,1,0.080995065,0.119571696,"{""type"":""Point"",""coordinates"":[105.96138645977963,21.065163481865767]}"
Rice,5,0.351976007,-0.280039928,0.224208519,1,0.080891008,0.120888195,"{""type"":""Point"",""coordinates"":[105.96167630134812,21.065163481865763]}"
Rice,6,0.332984566,-0.292463388,0.201963236,1,0.079384194,0.11431449,"{""type"":""Point"",""coordinates"":[105.9619661429166,21.06515902276471]}"
Rice,9,0.347306241,-0.308014158,0.210006677,1,0.077071953,0.108586016,"{""type"":""Point"",""coordinates"":[105.96225598448507,21.06515902276471]}"
Rice,10,0.307314079,-0.345687727,0.182399807,1,0.075705979,0.103139201,"{""type"":""Point"",""coordinates"":[105.96254136695246,21.06515902276471]}"
Rice,1,0.479909023,-0.350452676,0.299317874,1,0.057186125,0.093349298,"{""type"":""Point"",""coordinates"":[106.06879728595503,21.06452137131407]}"
Rice,3,0.358139789,-0.324241848,0.226872912,1,0.082572128,0.108489728,"{""type"":""Point"",""coordinates"":[105.96167630134812,21.0648914767015]}"
Rice,5,0.358430575,-0.305153679,0.227260553,1,0.080330745,0.11375124,"{""type"":""Point"",""coordinates"":[105.9619616838155,21.0648914767015]}"
Rice,8,0.385606769,-0.310481929,0.247847515,1,0.079700848,0.108868137,"{""type"":""Point"",""coordinates"":[105.962251525384,21.06488701760045]}"
