"Value","Class","Type"
0.42179534,"NDWI-Water","Non-rice"
0.424431256,"NDWI-Water","Non-rice"
0.437983036,"NDWI-Water","Non-rice"
0.448557645,"NDWI-Water","Non-rice"
0.351258887,"NDWI-Water","Non-rice"
0.332467851,"NDWI-Water","Non-rice"
0.343816093,"NDWI-Water","Non-rice"
0.336684969,"NDWI-Water","Non-rice"
0.353294441,"NDWI-Water","Non-rice"
0.377931585,"NDWI-Water","Non-rice"
0.385999333,"NDWI-Water","Non-rice"
0.391634148,"NDWI-Water","Non-rice"
0.406272188,"NDWI-Water","Non-rice"
0.417021039,"NDWI-Water","Non-rice"
0.414904981,"NDWI-Water","Non-rice"
0.419908414,"NDWI-Water","Non-rice"
0.435093093,"NDWI-Water","Non-rice"
0.444022934,"NDWI-Water","Non-rice"
0.444756943,"NDWI-Water","Non-rice"
0.460687621,"NDWI-Water","Non-rice"
0.332468235,"NDWI-Water","Non-rice"
0.332465981,"NDWI-Water","Non-rice"
0.36062973,"NDWI-Water","Non-rice"
0.347218745,"NDWI-Water","Non-rice"
0.341846216,"NDWI-Water","Non-rice"
0.360423705,"NDWI-Water","Non-rice"
0.365500379,"NDWI-Water","Non-rice"
0.386327282,"NDWI-Water","Non-rice"
0.405396152,"NDWI-Water","Non-rice"
0.410851825,"NDWI-Water","Non-rice"
0.422492914,"NDWI-Water","Non-rice"
0.429065971,"NDWI-Water","Non-rice"
0.451800489,"NDWI-Water","Non-rice"
0.37221679,"NDWI-Water","Non-rice"
0.418065229,"NDWI-Water","Non-rice"
0.388127277,"NDWI-Water","Non-rice"
0.324710281,"NDWI-Water","Non-rice"
0.352506422,"NDWI-Water","Non-rice"
0.367776433,"NDWI-Water","Non-rice"
0.381639209,"NDWI-Water","Non-rice"
0.409917566,"NDWI-Water","Non-rice"
0.404720669,"NDWI-Water","Non-rice"
0.419739934,"NDWI-Water","Non-rice"
0.440007938,"NDWI-Water","Non-rice"
0.509473709,"NDWI-Water","Non-rice"
0.554241493,"NDWI-Water","Non-rice"
0.445953709,"NDWI-Water","Non-rice"
0.434531002,"NDWI-Water","Non-rice"
0.379676401,"NDWI-Water","Non-rice"
0.375208807,"NDWI-Water","Non-rice"
0.396016327,"NDWI-Water","Non-rice"
0.399726203,"NDWI-Water","Non-rice"
0.403006558,"NDWI-Water","Non-rice"
0.550731329,"NDWI-Water","Non-rice"
0.366353257,"NDWI-Water","Non-rice"
0.346328244,"NDWI-Water","Non-rice"
0.35465278,"NDWI-Water","Non-rice"
0.386562864,"NDWI-Water","Non-rice"
0.396098972,"NDWI-Water","Non-rice"
0.402507616,"NDWI-Water","Non-rice"
0.398979759,"NDWI-Water","Non-rice"
0.362452301,"NDWI-Water","Non-rice"
0.369071561,"NDWI-Water","Non-rice"
0.390715977,"NDWI-Water","Non-rice"
0.388105073,"NDWI-Water","Non-rice"
0.355586533,"NDWI-Water","Non-rice"
0.345117512,"NDWI-Water","Non-rice"
0.366686635,"NDWI-Water","Non-rice"
0.35616918,"NDWI-Water","Non-rice"
0.463180385,"NDWI-Water","Non-rice"
0.469418889,"NDWI-Water","Non-rice"
0.461503739,"NDWI-Water","Non-rice"
0.456226536,"NDWI-Water","Non-rice"
0.422550301,"NDWI-Water","Non-rice"
0.446079593,"NDWI-Water","Non-rice"
0.44608096,"NDWI-Water","Non-rice"
0.440706578,"NDWI-Water","Non-rice"
0.436537268,"NDWI-Water","Non-rice"
0.435515009,"NDWI-Water","Non-rice"
0.442735291,"NDWI-Water","Non-rice"
0.438872416,"NDWI-Water","Non-rice"
0.424889953,"NDWI-Water","Non-rice"
0.424386539,"NDWI-Water","Non-rice"
0.459363794,"NDWI-Water","Non-rice"
0.47375085,"NDWI-Water","Non-rice"
0.471065115,"NDWI-Water","Non-rice"
0.475825707,"NDWI-Water","Non-rice"
0.467496759,"NDWI-Water","Non-rice"
0.457927198,"NDWI-Water","Non-rice"
0.441883353,"NDWI-Water","Non-rice"
0.300011746,"NDWI-Water","Non-rice"
0.283731167,"NDWI-Water","Non-rice"
0.474426897,"NDWI-Water","Non-rice"
0.474427969,"NDWI-Water","Non-rice"
0.46206369,"NDWI-Water","Non-rice"
0.447445951,"NDWI-Water","Non-rice"
0.415634749,"NDWI-Water","Non-rice"
